Inspecting Command,Inspecting Organization,Inspecting Organization Description,Inspected Command,Inspected Organization,Inspected Organization Description,Inspection Type,Inspection Name,Inspection Note,Start Inspection Date,End Inspection Date,Publish Date,Corrective Action Suspense Date,Deficiency Close Date,Deficiency Fix Rate (# of days),Deficiency Tracking Number,Deficiency Description,Functional Area,Impact,Deficiency Status,Item Category,Item Index and Item Name,Deficiency Severity,OPR,OCR,MAJCOM FAM OPR,HHQ,Repeat,Unit Identified,PFW&A,Reference,Countermeasure ECD,Countermeasure OPR,Countermeasure Status,Countermeasure Text,Assigned Root Cause (RC),Primary or Contributing RC?,RC Deficiency Code(s) (AFI 90-201)
AMW,144 FW,144 FW,ANG,Unit 58,Unit 58,CCIP,justo maecenas rhoncus,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,3/15/2014,9/9/2014,10/2/2015,11/24/2014,6/14/2015,100,128.22.4.240,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",A3,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,Accepted,SUB-CATEGORY,1.2.1.3 Root Casue Name,Significant,Kimberly George,Angela Hamilton,,TRUE,FALSE,FALSE,FALSE,192-87-0141,9/9/2015,Kelly Henry,In Progress,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,aliquet massa id lobortis convallis tortor risus dapibus,Contributing,RS3 Program shortfall (wing/installation level) 
AMW,195 W,144 FW,ANG,Unit 83,Unit 83,UEI,amet sem fusce consequat,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,3/9/2014,6/19/2014,9/6/2015,3/29/2015,4/20/2015,394,194.73.13.217,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",A3,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,Closed,SUB-CATEGORY,1.4.1.2 Root Casue Name,Minor,Joe Thompson,Teresa Wells,,FALSE,TRUE,FALSE,FALSE,777-24-9247,1/23/2015,Sean Fox,Complete,ligula vehicula consequat morbi a ipsum integer a nibh in,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,Contributing,RS4 Parent unit withheld funding 
AETC,129 RQW,146 AMW,ANG,Unit 29,Unit 29,CCIP,facilisi cras non velit,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,6/19/2014,10/4/2015,1/20/2014,12/12/2014,10/16/2015,315,22.120.136.92,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,A1,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,Implemented,SUB-CATEGORY,1.4.4.4 Root Casue Name,Significant,Roy Mason,Matthew Jackson,,TRUE,TRUE,FALSE,TRUE,901-14-9885,1/8/2015,Sharon Rogers,Complete,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,Contributing,RS5 Assigned personnel less than accepted CONUS/OCONUS manning averages 
AMW,129 RQW,195 W,ANG,Unit 77,Unit 77,CCIP,mollis molestie lorem quisque ut,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,2/21/2015,1/26/2014,3/20/2015,2/26/2015,9/19/2015,388,18.84.77.32,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,SG,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,Cancelled,SUB-CATEGORY,1.3.3.2 Root Casue Name,Significant,Sara Howard,Russell Reynolds,,FALSE,TRUE,TRUE,FALSE,599-32-5965,1/21/2015,Raymond Reed,In Progress,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,aliquam erat volutpat in congue etiam,Contributing,RS6 Insufficient personnel due to TDY/deployment 
AMW,146 AMW,146 AMW,ANG,Unit 12,Unit 12,CCIP,mauris viverra diam vitae,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,12/16/2014,4/23/2014,7/24/2014,8/21/2015,2/25/2015,238,149.194.239.4,Phasellus in felis. Donec semper sapien a libero. Nam dui.,SE,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,Accepted,SUB-CATEGORY,1.2.1.3 Root Casue Name,Critcal,Brenda Bowman,Beverly Roberts,,TRUE,TRUE,FALSE,FALSE,116-10-0247,9/21/2015,Diana Hart,In Progress,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et,massa id nisl venenatis lacinia aenean sit amet justo,Primary,RS7 Insufficient personnel due to medical profile 
AFSPC,195 W,195 W,ANG,Unit 3,Unit 3,UEI,consequat ut nulla sed,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,10/22/2014,5/2/2014,7/28/2014,9/27/2015,11/12/2015,67,131.253.112.45,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",A4,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,Pending,SUB-CATEGORY,1.4.2.1 Root Casue Name,Critcal,Phyllis Castillo,Antonio Dixon,,TRUE,FALSE,FALSE,TRUE,204-66-1855,6/25/2015,Sean Ruiz,Complete,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,Contributing,RS8 Insufficient personnel due to validated installation augmentee requirements shortfall 
ACC,163 RW,163 RW,ANG,Unit 16,Unit 16,UEI,turpis eget elit sodales scelerisque,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est,3/21/2015,1/11/2015,8/11/2015,10/4/2015,6/11/2015,164,157.234.154.119,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",SE,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,Closed,SUB-CATEGORY,1.4.1.4 Root Casue Name,Critcal,Keith Dunn,Jose Butler,,FALSE,TRUE,TRUE,FALSE,149-28-4806,9/8/2015,Keith Romero,In Progress,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,porttitor lacus at turpis donec posuere metus vitae ipsum,Primary,RS9 Awaiting security clearance 
AETC,163 RW,195 W,ANG,Unit 18,Unit 18,CCIP,sit amet erat nulla,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,6/14/2015,12/8/2014,8/22/2014,3/22/2015,8/10/2015,601,224.70.249.102,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,A8,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,Proposed,SUB-CATEGORY,1.1.3.2 Root Casue Name,Critcal,Ruby Johnston,Alan Moore,,TRUE,FALSE,TRUE,FALSE,339-21-4770,9/1/2015,Helen Howell,Not Started,fusce lacus purus aliquet at feugiat non pretium quis lectus,nec condimentum neque sapien placerat ante nulla justo aliquam,Contributing,RS10 Awaiting resupply 
AETC,144 FW,144 FW,ANG,Unit 73,Unit 73,CCIP,duis mattis egestas metus,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,2/11/2015,3/20/2014,7/2/2014,6/21/2015,7/27/2015,5,212.53.168.156,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",A3,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,Pending,SUB-CATEGORY,1.2.3.2 Root Casue Name,Critcal,Kathy Gilbert,George Holmes,,TRUE,TRUE,TRUE,FALSE,874-62-8050,7/27/2015,Barbara Turner,Not Started,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,in porttitor pede justo eu,Contributing,RS11 Not requisitioned 
AETC,144 FW,129 RQW,ANG,Unit 75,Unit 75,CCIP,felis ut at dolor quis,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,8/14/2015,8/5/2015,2/9/2015,2/15/2015,6/20/2015,374,162.203.129.74,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",SE,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,Proposed,SUB-CATEGORY,1.4.3.1 Root Casue Name,Significant,Raymond Murray,Maria Wood,,FALSE,TRUE,FALSE,FALSE,762-68-3379,9/21/2015,Norma Morris,Complete,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,imperdiet et commodo vulputate justo in,Primary,RS12 Maintenance 
AFSPC,129 RQW,144 FW,ANG,Unit 92,Unit 92,CCIP,mi integer ac,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,7/15/2015,12/9/2013,10/30/2015,9/22/2015,6/28/2015,310,207.147.234.237,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",A9,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,Cancelled,SUB-CATEGORY,1.4.2.2 Root Casue Name,Critcal,Craig Morrison,Dennis Harper,,TRUE,FALSE,TRUE,FALSE,615-77-5711,11/8/2015,Matthew Hudson,Not Started,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,enim lorem ipsum dolor sit amet,Primary,RS13 Deployed 
AMW,163 RW,146 AMW,ANG,Unit 58,Unit 58,UEI,vestibulum sit amet cursus,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,6/3/2015,5/2/2014,1/9/2015,9/16/2015,2/12/2015,41,249.39.174.161,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",A5,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,Open,SUB-CATEGORY,1.1.3.2 Root Casue Name,Minor,Ruth Johnston,Dorothy Foster,,FALSE,TRUE,TRUE,FALSE,460-18-2545,10/22/2015,Evelyn Chavez,In Progress,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,blandit mi in porttitor pede justo eu,Contributing,RS14 Insufficient personnel due to PRP certification/requirements 
AETC,146 AMW,195 W,ANG,Unit 88,Unit 88,CCIP,praesent blandit nam nulla,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,5/16/2015,6/18/2014,6/23/2014,1/10/2015,1/10/2015,456,137.97.156.191,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,SG,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,Accepted,SUB-CATEGORY,1.1.3.3 Root Casue Name,Minor,Terry Anderson,Marilyn Bailey,,FALSE,FALSE,FALSE,TRUE,241-67-1113,8/9/2015,Jason Wood,Complete,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,odio cras mi pede malesuada in imperdiet et commodo vulputate,Contributing,SE1 Flight Safety Program management inadequate 
AMW,144 FW,163 RW,ANG,Unit 75,Unit 75,CCIP,suspendisse potenti cras,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,7/19/2014,2/8/2015,5/29/2014,2/27/2015,4/27/2015,447,250.156.127.222,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",A8,purus sit amet nulla quisque arcu libero rutrum ac lobortis,Pending,SUB-CATEGORY,1.2.1.2 Root Casue Name,Minor,Mark Marshall,Lois Dunn,,TRUE,FALSE,TRUE,TRUE,558-44-1853,1/19/2015,Jane Kim,In Progress,morbi non quam nec dui luctus rutrum nulla tellus in sagittis,quis augue luctus tincidunt nulla,Primary,SE2 Selected aspects of flight safety program not effectively implemented
AETC,146 AMW,195 W,ANG,Unit 1,Unit 1,CCIP,neque duis bibendum,mi in porttitor pede justo eu massa donec dapibus duis at velit,6/11/2015,8/25/2014,8/25/2014,8/29/2015,12/17/2014,602,234.197.87.237,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",SE,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,Accepted,SUB-CATEGORY,1.1.2.3 Root Casue Name,Minor,James Freeman,Larry Wallace,,TRUE,FALSE,FALSE,FALSE,181-97-6340,3/24/2015,Paula Daniels,Complete,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,pede venenatis non sodales sed tincidunt eu felis fusce,Primary,SE3 Flight Safety Supervisory support inadequate 
ACC,129 RQW,129 RQW,ANG,Unit 69,Unit 69,CCIP,maecenas ut massa quis augue,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,2/19/2014,10/1/2015,2/24/2014,7/13/2015,12/8/2014,378,192.31.58.33,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,A8,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,Cancelled,SUB-CATEGORY,1.4.4.4 Root Casue Name,Critcal,Christina Wood,Victor Arnold,,TRUE,TRUE,FALSE,FALSE,260-50-3220,11/12/2015,Christine Wood,Not Started,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,vulputate elementum nullam varius nulla facilisi cras non velit,Primary,SE4 Ground Safety Program management inadequate 
AFSPC,195 W,129 RQW,ANG,Unit 99,Unit 99,CCIP,ultricies eu nibh,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,7/10/2014,2/8/2015,9/2/2015,10/10/2015,12/3/2014,337,90.254.138.155,In congue. Etiam justo. Etiam pretium iaculis justo.,A6,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,Open,SUB-CATEGORY,1.3.1.3 Root Casue Name,Critcal,Deborah Hunt,Maria Gonzalez,,TRUE,TRUE,TRUE,TRUE,846-10-9676,4/20/2015,Andrew Carpenter,Not Started,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,quisque porta volutpat erat quisque erat eros viverra eget congue,Primary,SE10 Weapons Safety Program management inadequate 
AETC,195 W,195 W,ANG,Unit 11,Unit 11,CCIP,non mattis pulvinar nulla pede,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,6/29/2014,7/24/2015,3/28/2015,11/23/2014,8/4/2015,398,213.208.20.45,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",A10,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,Closed,SUB-CATEGORY,1.2.3.4 Root Casue Name,Significant,Chris Woods,Patricia Phillips,,TRUE,FALSE,FALSE,FALSE,133-71-1607,3/21/2015,Sarah Warren,In Progress,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,praesent blandit lacinia erat vestibulum,Primary,SE11 Selected aspects of weapons safety program not effectively implemented 
AFSPC,146 AMW,144 FW,ANG,Unit 78,Unit 78,UEI,ut dolor morbi vel lectus,in sagittis dui vel nisl duis ac nibh fusce lacus purus,2/10/2014,3/30/2015,4/5/2014,12/25/2014,11/22/2014,509,40.73.228.14,Fusce consequat. Nulla nisl. Nunc nisl.,A10,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,Cancelled,SUB-CATEGORY,1.4.1.2 Root Casue Name,Significant,Pamela Smith,Jeffrey Harris,,TRUE,FALSE,FALSE,TRUE,473-15-5541,3/26/2015,Cynthia Murphy,Complete,sit amet diam in magna bibendum imperdiet nullam orci pede,sagittis sapien cum sociis natoque penatibus et magnis dis parturient,Primary,SE12 Weapons Safety Supervisory support inadequate 
ACC,144 FW,146 AMW,ANG,Unit 60,Unit 60,CCIP,erat nulla tempus vivamus in,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,12/27/2013,9/7/2015,7/27/2014,7/2/2015,11/5/2015,597,160.136.246.28,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",A7,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,Cancelled,SUB-CATEGORY,1.3.2.4 Root Casue Name,Critcal,Brandon Gonzales,Anthony Ramos,,TRUE,FALSE,TRUE,FALSE,633-81-9662,1/7/2015,Steve Mason,Not Started,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,mattis egestas metus aenean fermentum donec ut mauris eget,Contributing,TR1 Training Program management inadequate 
AMW,163 RW,195 W,ANG,Unit 50,Unit 50,CCIP,volutpat convallis morbi odio odio,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,6/19/2015,6/17/2014,7/12/2015,9/20/2015,9/1/2015,654,92.46.246.147,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,A3,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,Proposed,SUB-CATEGORY,1.4.1.2 Root Casue Name,Significant,Jeremy Thomas,Anne Reed,,TRUE,FALSE,FALSE,FALSE,509-02-7029,11/16/2014,Albert Jacobs,Complete,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,libero non mattis pulvinar nulla pede ullamcorper augue a,Primary,TR2 Training guidance/policy/procedures inadequate 
ACC,129 RQW,195 W,ANG,Unit 1,Unit 1,CCIP,ut massa volutpat,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,12/7/2014,6/10/2014,8/21/2015,2/17/2015,7/24/2015,352,140.14.105.123,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,A4,velit id pretium iaculis diam erat fermentum justo nec condimentum neque,Proposed,SUB-CATEGORY,1.2.1.2 Root Casue Name,Critcal,Terry Palmer,Jeffrey Banks,,FALSE,TRUE,FALSE,FALSE,370-31-2281,1/27/2015,Alan Dean,In Progress,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,dolor quis odio consequat varius integer ac,Contributing,EQ1 Equipment reliability
AETC,144 FW,195 W,ANG,Unit 55,Unit 55,CCIP,platea dictumst aliquam augue quam,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,4/14/2014,11/7/2014,12/18/2013,2/6/2015,3/16/2015,387,233.16.208.90,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",A8,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,Implemented,SUB-CATEGORY,1.4.3.3 Root Casue Name,Significant,Jose Burke,Lawrence Cruz,,FALSE,TRUE,TRUE,TRUE,880-02-3714,6/30/2015,Judith Romero,Not Started,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,ultrices phasellus id sapien in sapien iaculis congue vivamus,Primary,EQ2 Inadequate/Unavailable equipment 
AFSPC,129 RQW,195 W,ANG,Unit 79,Unit 79,UEI,donec odio justo,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,1/4/2014,3/17/2015,4/15/2014,1/8/2015,12/13/2014,167,177.79.76.3,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",A1,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,Open,SUB-CATEGORY,1.3.3.2 Root Casue Name,Significant,Linda Stone,Diana Alexander,,TRUE,TRUE,FALSE,FALSE,977-25-5025,1/9/2015,Annie Green,Complete,at nulla suspendisse potenti cras in purus eu magna vulputate luctus,eget eleifend luctus ultricies eu nibh quisque id justo sit,Contributing,EQ3 Equipment/Tool Accountability inadequate
AETC,144 FW,146 AMW,ANG,Unit 97,Unit 97,UEI,elementum pellentesque quisque porta,imperdiet et commodo vulputate justo in blandit ultrices enim lorem,6/30/2014,11/28/2014,12/2/2014,4/24/2015,1/9/2015,403,213.235.154.191,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",A2,consequat varius integer ac leo pellentesque ultrices mattis odio donec,Accepted,SUB-CATEGORY,1.4.4.4 Root Casue Name,Critcal,Betty Mills,Ashley Garcia,,TRUE,TRUE,TRUE,TRUE,107-68-2092,5/4/2015,Wanda Watkins,Complete,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,eu massa donec dapibus duis at velit eu,Primary,GD1 Guidance used was inadequate or not available 
ACC,146 AMW,144 FW,ANG,Unit 53,Unit 53,UEI,vestibulum quam sapien varius,suscipit ligula in lacus curabitur at ipsum ac tellus semper,8/6/2014,10/8/2014,10/13/2015,5/25/2015,1/16/2015,693,135.161.183.181,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",A1,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,Pending,SUB-CATEGORY,1.2.2.1 Root Casue Name,Critcal,David Tucker,Louis Carter,,FALSE,FALSE,TRUE,TRUE,906-62-8602,3/24/2015,Jason Day,Complete,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,ipsum integer a nibh in quis justo maecenas rhoncus,Primary,GD2 Guidance used conflicted with other approved guidance 
AETC,129 RQW,146 AMW,ANG,Unit 77,Unit 77,UEI,lobortis convallis tortor risus dapibus,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,3/20/2014,11/9/2015,1/12/2015,10/21/2015,7/21/2015,375,175.106.36.196,Phasellus in felis. Donec semper sapien a libero. Nam dui.,A3,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,Closed,SUB-CATEGORY,1.4.2.3 Root Casue Name,Significant,Louise Lewis,Gerald Brooks,,TRUE,TRUE,TRUE,FALSE,225-16-6526,11/6/2015,Daniel Richardson,Complete,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,nunc proin at turpis a pede posuere,Contributing,GD3 Guidance used was obsolete or not approved 
AETC,144 FW,146 AMW,ANG,Unit 47,Unit 47,UEI,bibendum morbi non,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,2/24/2014,11/10/2015,12/4/2014,2/4/2015,12/24/2014,308,215.182.185.201,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",A2,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,Proposed,SUB-CATEGORY,1.2.1.3 Root Casue Name,Minor,Anna White,Roger Burton,,FALSE,TRUE,TRUE,TRUE,515-33-5338,5/7/2015,Steve Ray,Complete,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,mollis molestie lorem quisque ut erat curabitur gravida nisi at,Primary,GD4 Inspected unit guidance (Wing or Below) 
ACC,146 AMW,163 RW,ANG,Unit 70,Unit 70,CCIP,nibh ligula nec sem duis,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,12/10/2014,2/13/2014,3/18/2015,5/24/2015,1/28/2015,345,82.137.238.248,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,A8,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,Closed,SUB-CATEGORY,1.4.4.1 Root Casue Name,Critcal,Donald Moreno,Ralph Patterson,,FALSE,FALSE,FALSE,TRUE,288-48-7753,6/2/2015,Carolyn Bowman,In Progress,primis in faucibus orci luctus et ultrices posuere cubilia curae,et ultrices posuere cubilia curae mauris viverra diam vitae,Contributing,GD5 Other than inspected unit guidance 
AETC,195 W,195 W,ANG,Unit 1,Unit 1,UEI,proin risus praesent lectus,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,11/20/2013,5/14/2015,8/16/2014,9/13/2015,10/25/2015,52,185.40.239.251,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",A9,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,Proposed,SUB-CATEGORY,1.3.2.4 Root Casue Name,Minor,Kathy Simmons,Willie Hughes,,FALSE,TRUE,TRUE,FALSE,313-32-3567,8/16/2015,Brian Bryant,Not Started,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,enim blandit mi in porttitor pede justo eu massa donec,Contributing,LS1 Supervisor/leadership involvement insufficient
AFSPC,163 RW,163 RW,ANG,Unit 3,Unit 3,UEI,lectus pellentesque eget,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,6/25/2014,11/27/2013,8/28/2014,11/19/2014,8/2/2015,605,7.121.156.114,Fusce consequat. Nulla nisl. Nunc nisl.,A4,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,Open,SUB-CATEGORY,1.4.2.1 Root Casue Name,Minor,Nicholas Sullivan,Anthony Rodriguez,,TRUE,FALSE,FALSE,FALSE,851-09-6609,7/4/2015,Louis Perry,Not Started,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,ipsum integer a nibh in quis justo maecenas,Primary,LS2 Ineffective communication 
AMW,163 RW,163 RW,ANG,Unit 58,Unit 58,UEI,curabitur in libero,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,9/27/2014,9/8/2014,7/4/2015,11/8/2015,2/4/2015,571,110.151.140.47,Fusce consequat. Nulla nisl. Nunc nisl.,A6,pede venenatis non sodales sed tincidunt eu felis fusce posuere,Pending,SUB-CATEGORY,1.3.3.2 Root Casue Name,Minor,Frances Moreno,Teresa Knight,,TRUE,FALSE,FALSE,TRUE,387-26-0875,12/15/2014,Kathy Franklin,Not Started,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,nec condimentum neque sapien placerat,Contributing,LS3 Decision making process ineffective (Risk Management) 
